appel_id;lead_id;commercial_id;commercial_email;date_appel;duree_secondes;statut;campagne_id;campagne_nom
5000;1041;2;jean.martin@assurplus.fr;2026-01-04 19:14:00;7;no_answer;4;4. RDV Devis
5001;1071;7;lea.durand@assurplus.fr;2026-01-16 19:28:00;6;no_answer;3;3. Lead J+3
5002;1034;1;marie.dupont@assurplus.fr;2026-01-10 11:19:00;21;messagerie;1;1. Lead Frais
5003;1071;7;lea.durand@assurplus.fr;2026-01-14 14:45:00;11;no_answer;5;5. Relance
5004;1011;5;emma.robert@assurplus.fr;2026-01-10 16:27:00;20;messagerie;1;1. Lead Frais
5005;1095;8;hugo.moreau@assurplus.fr;2026-01-17 16:34:00;13;busy;2;2. Lead J+1
5006;1102;6;thomas.richard@assurplus.fr;2026-01-01 19:36:00;19;busy;3;3. Lead J+3
5007;1079;2;jean.martin@assurplus.fr;2026-01-12 19:32:00;6;no_answer;2;2. Lead J+1
5008;1036;2;jean.martin@assurplus.fr;2026-01-14 11:57:00;431;connected;2;2. Lead J+1
5009;1051;8;hugo.moreau@assurplus.fr;2026-01-13 19:51:00;15;no_answer;5;5. Relance
5010;1090;8;hugo.moreau@assurplus.fr;2026-01-08 16:52:00;23;messagerie;1;1. Lead Frais
5011;1099;4;lucas.petit@assurplus.fr;2026-01-10 18:20:00;5;no_answer;2;2. Lead J+1
5012;1050;3;sophie.bernard@assurplus.fr;2026-01-05 17:37:00;20;no_answer;1;1. Lead Frais
5013;1016;3;sophie.bernard@assurplus.fr;2026-01-17 11:34:00;16;no_answer;1;1. Lead Frais
5014;1083;4;lucas.petit@assurplus.fr;2026-01-16 19:19:00;570;connected;5;5. Relance
5015;1085;7;lea.durand@assurplus.fr;2026-01-08 11:04:00;284;connected;5;5. Relance
5016;1083;1;marie.dupont@assurplus.fr;2026-01-20 11:04:00;37;repondeur;3;3. Lead J+3
5017;1136;7;lea.durand@assurplus.fr;2026-01-13 19:09:00;30;messagerie;4;4. RDV Devis
5018;1122;1;marie.dupont@assurplus.fr;2026-01-16 15:48:00;20;no_answer;4;4. RDV Devis
5019;1062;8;hugo.moreau@assurplus.fr;2026-01-14 18:47:00;328;connected;5;5. Relance
5020;1069;5;emma.robert@assurplus.fr;2026-01-10 19:25:00;416;connected;1;1. Lead Frais
5021;1104;6;thomas.richard@assurplus.fr;2026-01-01 10:48:00;559;connected;1;1. Lead Frais
5022;1030;4;lucas.petit@assurplus.fr;2026-01-06 18:34:00;105;connected;5;5. Relance
5023;1128;1;marie.dupont@assurplus.fr;2026-01-17 11:39:00;78;connected;2;2. Lead J+1
5024;1116;7;lea.durand@assurplus.fr;2026-01-10 10:42:00;11;no_answer;4;4. RDV Devis
5025;1079;5;emma.robert@assurplus.fr;2026-01-08 17:41:00;8;no_answer;5;5. Relance
5026;1145;4;lucas.petit@assurplus.fr;2026-01-13 11:46:00;5;faux_numero;4;4. RDV Devis
5027;1148;8;hugo.moreau@assurplus.fr;2026-01-09 19:15:00;10;no_answer;2;2. Lead J+1
5028;1019;6;thomas.richard@assurplus.fr;2026-01-20 18:00:00;6;busy;3;3. Lead J+3
5029;1143;5;emma.robert@assurplus.fr;2026-01-14 14:40:00;20;no_answer;5;5. Relance
5030;1072;2;jean.martin@assurplus.fr;2026-01-15 11:40:00;223;connected;4;4. RDV Devis
5031;1076;1;marie.dupont@assurplus.fr;2026-01-19 14:49:00;66;connected;5;5. Relance
5032;1049;7;lea.durand@assurplus.fr;2026-01-17 17:31:00;24;repondeur;2;2. Lead J+1
5033;1091;5;emma.robert@assurplus.fr;2026-01-08 19:30:00;467;connected;4;4. RDV Devis
5034;1124;8;hugo.moreau@assurplus.fr;2026-01-08 19:30:00;18;no_answer;4;4. RDV Devis
5035;1146;2;jean.martin@assurplus.fr;2026-01-17 09:12:00;16;faux_numero;5;5. Relance
5036;1121;5;emma.robert@assurplus.fr;2026-01-06 14:49:00;37;connected;3;3. Lead J+3
5037;1104;6;thomas.richard@assurplus.fr;2026-01-10 14:24:00;484;connected;4;4. RDV Devis
5038;1075;4;lucas.petit@assurplus.fr;2026-01-20 18:04:00;201;connected;1;1. Lead Frais
5039;1071;7;lea.durand@assurplus.fr;2026-01-22 14:47:00;20;busy;3;3. Lead J+3
5040;1116;3;sophie.bernard@assurplus.fr;2026-01-10 18:10:00;11;no_answer;5;5. Relance
5041;1067;5;emma.robert@assurplus.fr;2026-01-06 17:53:00;428;connected;1;1. Lead Frais
5042;1136;7;lea.durand@assurplus.fr;2026-01-17 09:48:00;12;busy;1;1. Lead Frais
