lead_id;prenom;nom;telephone;email;date_creation;source;commercial_assigne_id
1000;Jean-Pierre;Garcia;33639580708;jean-pierre.garcia26@email.fr;2026-01-11 17:41:00;Site Web;8
1001;Michel;Fournier;33667989904;michel.fournier54@email.fr;2026-01-06 13:09:00;Google Ads;7
1002;Gérard;Girard;33664881828;gérard.girard64@email.fr;2026-01-12 18:29:00;Google Ads;3
1003;Michel;Richard;33620720877;michel.richard45@email.fr;2026-01-10 18:21:00;Google Ads;2
1004;Marcel;Roux;33643297359;marcel.roux60@email.fr;2026-01-15 11:15:00;Partenaire A;1
1005;Jacques;Robert;33628874094;jacques.robert91@email.fr;2026-01-11 09:15:00;;2
1006;Monique;Thomas;33633705600;monique.thomas51@email.fr;2026-01-08 08:42:00;Site Web;4
1007;Yvette;Durand;33666373570;yvette.durand42@email.fr;2026-01-05 10:23:00;Partenaire A;4
1008;Josette;Thomas;33650101422;josette.thomas50@email.fr;2026-01-06 14:01:00;Site Web;1
1009;Roger;Petit;33641297860;roger.petit44@email.fr;2026-01-14 16:59:00;Facebook;4
1010;Denise;Fournier;33637180225;denise.fournier92@email.fr;2026-01-03 18:14:00;Partenaire A;1
1011;Françoise;Bertrand;33672122349;françoise.bertrand70@email.fr;2026-01-02 16:00:00;Partenaire B;5
1012;Jean-Pierre;André;33658701938;jean-pierre.andré88@email.fr;2026-01-11 13:49:00;Partenaire A;2
1013;Marie-Claire;Moreau;33681232162;marie-claire.moreau5@email.fr;2026-01-14 17:57:00;Google Ads;6
1014;Gérard;Michel;33688069994;gérard.michel61@email.fr;2026-01-11 18:04:00;Google Ads;6
1015;Roger;Girard;33677346902;roger.girard87@email.fr;2026-01-09 16:03:00;;5
1016;Marie-Claire;Girard;33635536443;marie-claire.girard4@email.fr;2026-01-06 16:54:00;Facebook;3
1017;Jacques;Robert;33692993730;jacques.robert59@email.fr;2026-01-11 09:12:00;Facebook;2
1018;Denise;Bertrand;33691635197;denise.bertrand30@email.fr;2026-01-03 09:34:00;Bouche à oreille;3
1019;Jacqueline;Thomas;33647255944;jacqueline.thomas11@email.fr;2026-01-14 13:58:00;Partenaire B;6
1020;Roger;Girard;33633312130;roger.girard18@email.fr;2026-01-10 18:22:00;Site Web;7
1021;Claude;Roux;33622823764;claude.roux65@email.fr;2026-01-01 13:09:00;Bouche à oreille;7
1022;Michel;Lefebvre;33671327651;michel.lefebvre38@email.fr;2026-01-06 10:01:00;Bouche à oreille;4
1023;René;Richard;33636726674;rené.richard4@email.fr;2026-01-15 08:39:00;Google Ads;8
1024;Michel;Moreau;33643090297;michel.moreau66@email.fr;2026-01-13 17:54:00;Bouche à oreille;2
1025;Jean-Pierre;Laurent;33652549336;jean-pierre.laurent99@email.fr;2026-01-04 18:50:00;Bouche à oreille;5
1026;Claude;Roux;33697506178;claude.roux54@email.fr;2026-01-01 18:53:00;Site Web;5
1027;Nicole;Moreau;33618455047;nicole.moreau78@email.fr;2026-01-10 13:59:00;Partenaire A;6
1028;Christiane;Thomas;33652179426;christiane.thomas35@email.fr;2026-01-15 18:06:00;Facebook;6
1029;Jacques;Simon;33664619300;jacques.simon94@email.fr;2026-01-05 18:53:00;Facebook;7
1030;Josette;Bernard;33666192154;josette.bernard53@email.fr;2026-01-03 17:35:00;Partenaire B;4
1031;Simone;Richard;33634736918;simone.richard41@email.fr;2026-01-14 11:24:00;Site Web;4
1032;Josette;Thomas;33640266048;josette.thomas50@email.fr;2026-01-06 18:05:00;Site Web;1
1033;Gérard;Leroy;33696328655;gérard.leroy26@email.fr;2026-01-09 18:16:00;Bouche à oreille;4
1034;Suzanne;Robert;33692294212;suzanne.robert47@email.fr;2026-01-07 18:54:00;Site Web;2
1035;René;André;33691651987;rené.andré60@email.fr;2026-01-13 13:03:00;Partenaire A;3
1036;Marcel;Leroy;33623387079;marcel.leroy34@email.fr;2026-01-09 10:03:00;Bouche à oreille;5
1037;Yvette;Martin;33677011411;yvette.martin49@email.fr;2026-01-06 12:00:00;Site Web;4
1038;Jean-Pierre;Moreau;33623395151;jean-pierre.moreau43@email.fr;2026-01-01 12:25:00;Site Web;3
1039;Yvette;Richard;33619233218;yvette.richard61@email.fr;2026-01-11 12:07:00;Google Ads;4
1040;Monique;David;33687167519;monique.david21@email.fr;2026-01-09 09:16:00;Site Web;4
1041;Simone;Fournier;33654676992;simone.fournier9@email.fr;2026-01-03 15:48:00;Site Web;2
1042;Nicole;Girard;33644116091;nicole.girard97@email.fr;2026-01-09 08:01:00;Partenaire A;6
1043;René;André;33662478091;rené.andré76@email.fr;2026-01-01 08:44:00;Facebook;2
1044;Yvette;Durand;33637089892;yvette.durand47@email.fr;2026-01-07 18:13:00;Bouche à oreille;8
1045;Jacqueline;David;33648983254;jacqueline.david57@email.fr;2026-01-04 17:06:00;Bouche à oreille;99
